id,cattle_id,heat_date,allows_mounting,vaginal_discharge,vulva_swelling,comportamiento,was_inseminated,insemination_date,pregnancy_confirmed,created_at,updated_at
0c8a2951-d536-4191-886e-f326eada868e,508570c8-a218-4761-9402-bba87740b874,2025-02-24,False,seco,leve,olfatea,False,,,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
4cc5ecdb-7034-4843-a843-6b402ba08434,508570c8-a218-4761-9402-bba87740b874,2025-03-13,True,cristalino,leve,olfatea,False,,,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
aa1ad47b-fb9a-45b9-b79f-9d49db4c4985,508570c8-a218-4761-9402-bba87740b874,2025-04-02,True,turbio,normal,lame_genitales,False,,,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
932571e6-f64b-4950-b5fb-5bf8f7917758,508570c8-a218-4761-9402-bba87740b874,2025-04-21,True,seco,leve,nerviosismo,False,,,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
5982535d-15aa-4c8a-a4c0-0c99d16b4cb0,508570c8-a218-4761-9402-bba87740b874,2025-05-08,True,seco,leve,monta_a_otras,True,2025-05-08,False,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
25b256d6-9175-4fb3-966b-268bf1876774,508570c8-a218-4761-9402-bba87740b874,2025-05-27,False,cristalino,leve,nerviosismo,True,2025-05-27,True,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
2bf4e33e-73fa-46eb-a286-aa66971283ef,508570c8-a218-4761-9402-bba87740b874,2025-06-17,True,cristalino,leve,nerviosismo,False,,,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
7f5f54cf-eb8c-4063-b3fc-f2f0f0a418f5,508570c8-a218-4761-9402-bba87740b874,2025-07-06,False,seco,alta,nerviosismo,False,,,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
bd4f2b7f-09d5-4e90-a6ac-e91b02283d20,508570c8-a218-4761-9402-bba87740b874,2025-07-23,False,turbio,leve,inquietud,False,,,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
81263247-24fd-4215-a52d-d06575287e0c,508570c8-a218-4761-9402-bba87740b874,2025-08-11,False,cristalino,leve,olfatea,False,,,2025-12-15 06:02:56.956017,2025-12-15 06:02:56.956017
