id,owner_id,name,lote,breed,gender,birth_date,weight,fecha_ultimo_parto,created_at,updated_at
08ed8a86-49ae-4f9d-9a8a-5247a50b4f0b,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Bonita 1,L1000,Holstein,male,2024-03-21,495.01,,2025-12-14 22:33:42.584131,2025-12-14 22:33:42.584131
a0babefa-4124-41bc-a5bf-9cf851c7dcbd,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Toro 2,L1001,Angus,female,2019-04-11,316.91,2025-10-07,2025-12-14 22:33:42.584131,2025-12-14 22:33:42.584131
43455f44-0470-4aa1-aef6-e3f7125ce09a,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Negra 3,L1002,Hereford,male,2025-10-20,259.81,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
80683f50-08e3-4bd4-9040-2e0518c3577e,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Colorada 4,L1003,Angus,female,2023-04-26,577.6,2025-10-02,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
dc2afacc-e835-450e-92fc-5b3076959215,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Colorada 5,L1004,Brahman,female,2023-01-19,569.81,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
bcda213b-c99d-4b70-8ead-25b4e94e545d,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Blanca 6,L1005,Brahman,male,2019-02-08,573.97,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
094911fa-57d6-44d8-8b4f-583fd8a4fab8,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Rosa 7,L1006,Charolais,female,2021-08-24,509.11,2024-05-25,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
b26f2af0-96bc-4444-acac-dd8bbd230740,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Bonita 8,L1007,Simmental,male,2021-10-13,,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
23261ffb-ece8-4af9-95ec-7e43ea6a964a,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Toro 9,L1008,Holstein,female,2024-06-06,319.3,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
d6fde476-0dda-477c-8fa0-a0a6ee7fdf3f,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Bella 10,L1009,Angus,female,2019-02-17,,2025-06-18,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
1914a8e7-90ae-4f6d-a281-0056bb7e207d,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Blanca 11,L1010,Limousin,female,2025-03-05,346.72,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
0ee61ad6-c79c-4b6f-ab63-2739b6609a52,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Rosa 12,L1011,Brahman,male,2018-08-01,466.13,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
e36acfdc-e6c2-46e1-8ab5-576b8308808d,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Bonita 13,L1012,Angus,male,2020-02-21,491.26,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
3420384d-9061-4c27-aa52-57c917f745b4,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Príncipe 14,L1013,Hereford,female,2020-02-25,430.66,2024-04-02,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
47b6f7b6-bb34-43dd-9547-fe30da858da1,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Paloma 15,L1014,Holstein,female,2020-01-02,564.25,2023-10-14,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
c29c51d0-1a28-48c5-be04-9a19caf32a55,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Rey 16,L1015,Angus,female,2018-09-19,572.48,2021-06-01,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
973ecddc-f079-4ef4-8748-0ade370c7713,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Paloma 17,L1016,Gelbvieh,female,2018-07-26,338.06,2025-03-06,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
0dae6431-8455-4b19-a3bd-6b99dc74b33b,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Bonita 18,L1017,Charolais,female,2024-02-26,513.81,,2025-12-14 22:33:42.585138,2025-12-14 22:33:42.585138
1b46effb-ee18-43ad-b175-76198e72deaa,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Bravo 19,L1018,Hereford,male,2019-04-24,528.19,,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
bbe2bf41-cc47-47a3-a20a-7dec7e7faf49,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Manchada 20,L1019,Simmental,male,2019-11-04,591.17,,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
22f18598-8f34-497d-8684-fafe93e51a63,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Colorada 21,L1020,Brangus,male,2021-02-04,425.74,,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
61398590-503b-4ba8-8676-8d820e46b250,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Paloma 22,L1021,Simmental,female,2021-08-12,316.19,2025-08-01,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
0dc501f5-031c-40c7-87c7-339d2da0bbbc,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Toro 23,L1022,Limousin,female,2018-12-18,315.16,2023-04-21,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
e603d647-fbfe-48bf-a32f-134eed33d246,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Toro 24,L1023,Gelbvieh,female,2021-01-25,,,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
105089fa-bc47-45a1-ab27-adfede1e03d4,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Rosa 25,L1024,Limousin,female,2019-01-30,271.41,,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
410ca15f-226f-4afb-87a7-3facf79c1a1a,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Colorada 26,L1025,Gelbvieh,female,2025-07-28,308.53,,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
2027cfc1-eb50-4ffa-ad00-7cbe24e21c4b,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Bravo 27,L1026,Angus,female,2025-03-07,553.45,,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
690b7988-0b89-49f4-98b0-0162a1941ca3,64fa55e3-8ed6-4456-bf8c-0857ba07f6f1,Bravo 28,L1027,Hereford,male,2023-08-20,492.24,,2025-12-14 22:33:42.586137,2025-12-14 22:33:42.586137
